# %ECSV 1.0,
# ---,
# datatype:,
# - {name: Teff, datatype: float64}
# - {name: logg, datatype: float64}
# - {name: FeH, datatype: float64}
# - {name: profile, datatype: string}
# - {name: filter, datatype: string}
# - {name: wave_min, datatype: float16}
# - {name: wave_eff, datatype: float16}
# - {name: wave_max, datatype: float16}
# - {name: c1, datatype: float64}
# - {name: e1, datatype: float64}
# - {name: c2, datatype: float64}
# - {name: e2, datatype: float64}
# - {name: c3, datatype: float64}
# - {name: e3, datatype: float64}
# - {name: c4, datatype: float64}
# - {name: e4, datatype: float64}
# schema: astropy-2.0,
Teff logg FeH profile filter wave_min wave_eff wave_max c1 e1 c2 e2 c3 e3 c4 e4,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 0.8657 0.8794 0.8936 0.386 0.006 0.166 0.008 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 0.8975 0.911 0.9253 0.37 0.006 0.171 0.009 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 0.929 0.943 0.957 0.357 0.006 0.174 0.009 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 0.961 0.9746 0.989 0.352 0.007 0.172 0.009 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 0.9927 1.007 1.0205 0.34 0.007 0.177 0.009 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.024 1.038 1.052 0.331 0.007 0.178 0.009 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.057 1.07 1.084 0.319 0.007 0.182 0.009 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.088 1.102 1.115 0.307 0.007 0.188 0.01 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.12 1.134 1.147 0.302 0.007 0.19 0.01 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.151 1.165 1.179 0.293 0.008 0.196 0.01 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.184 1.197 1.211 0.286 0.008 0.201 0.011 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.215 1.229 1.242 0.278 0.008 0.209 0.011 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.247 1.261 1.274 0.267 0.009 0.217 0.012 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.278 1.292 1.306 0.257 0.009 0.227 0.012 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.311 1.324 1.338 0.247 0.01 0.233 0.013 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.342 1.355 1.37 0.235 0.011 0.246 0.014 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.374 1.388 1.401 0.221 0.012 0.257 0.015 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.405 1.419 1.434 0.208 0.013 0.265 0.017 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.4375 1.451 1.465 0.192 0.014 0.279 0.018 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.469 1.482 1.497 0.175 0.014 0.286 0.019 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.501 1.515 1.528 0.158 0.016 0.295 0.021 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.532 1.546 1.561 0.141 0.017 0.303 0.023 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.564 1.578 1.592 0.129 0.018 0.302 0.024 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.596 1.609 1.624 0.117 0.019 0.298 0.025 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.628 1.642 1.655 0.11 0.019 0.295 0.025 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.659 1.673 1.6875 0.11 0.019 0.292 0.025 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.691 1.705 1.719 0.109 0.019 0.287 0.025 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.723 1.736 1.751 0.096 0.018 0.289 0.025 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.755 1.769 1.782 0.113 0.018 0.281 0.024 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.786 1.8 1.814 0.108 0.018 0.28 0.023 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.818 1.832 1.846 0.112 0.017 0.276 0.023 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.85 1.863 1.878 0.108 0.017 0.272 0.022 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.882 1.8955 1.909 0.105 0.017 0.27 0.022 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.913 1.927 1.941 0.115 0.016 0.263 0.022 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.945 1.959 1.973 0.111 0.016 0.26 0.021 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.977 1.99 2.004 0.116 0.016 0.255 0.021 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.008 2.021 2.037 0.115 0.016 0.252 0.021 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.041 2.055 2.068 0.115 0.016 0.25 0.021 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.072 2.086 2.1 0.114 0.015 0.246 0.02 nan nan nan nan,
