# %ECSV 1.0,
# ---,
# datatype:,
# - {name: Teff, datatype: float64}
# - {name: logg, datatype: float64}
# - {name: FeH, datatype: float64}
# - {name: profile, datatype: string}
# - {name: filter, datatype: string}
# - {name: wave_min, datatype: float16}
# - {name: wave_eff, datatype: float16}
# - {name: wave_max, datatype: float16}
# - {name: c1, datatype: float64}
# - {name: e1, datatype: float64}
# - {name: c2, datatype: float64}
# - {name: e2, datatype: float64}
# - {name: c3, datatype: float64}
# - {name: e3, datatype: float64}
# - {name: c4, datatype: float64}
# - {name: e4, datatype: float64}
# schema: astropy-2.0,
Teff logg FeH profile filter wave_min wave_eff wave_max c1 e1 c2 e2 c3 e3 c4 e4,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 0.8657 0.8794 0.8936 0.397 0.004 0.121 0.006 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 0.8975 0.911 0.9253 0.388 0.004 0.123 0.006 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 0.929 0.943 0.957 0.371 0.004 0.123 0.006 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 0.961 0.9746 0.989 0.366 0.004 0.106 0.006 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 0.9927 1.007 1.0205 0.347 0.004 0.113 0.006 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.024 1.038 1.052 0.348 0.004 0.128 0.006 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.057 1.07 1.084 0.33 0.005 0.137 0.007 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.088 1.102 1.115 0.329 0.004 0.124 0.006 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.12 1.134 1.147 0.325 0.004 0.123 0.006 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.151 1.165 1.179 0.315 0.004 0.138 0.007 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.184 1.197 1.211 0.298 0.005 0.152 0.007 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.215 1.229 1.242 0.305 0.005 0.147 0.007 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.247 1.261 1.274 0.289 0.005 0.161 0.008 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.278 1.292 1.306 0.292 0.005 0.154 0.007 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.311 1.324 1.338 0.273 0.006 0.174 0.008 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.342 1.355 1.37 0.264 0.006 0.183 0.009 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.374 1.388 1.401 0.252 0.006 0.193 0.009 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.405 1.419 1.434 0.253 0.006 0.195 0.009 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.4375 1.451 1.465 0.245 0.006 0.186 0.008 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.469 1.482 1.497 0.216 0.007 0.214 0.011 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.501 1.515 1.528 0.215 0.007 0.226 0.011 nan nan nan nan,
